Tech/tech/=IntrusionDiscoverydisplay_name|Intrusion Discovery
Tech/tech/=IntrusionDiscoverydescription|Techniques for discovering new intrusion vectors into hardened systems.
Tech/tech/=FlexibleProcessingPowerdisplay_name|Flexible Processing Power
Tech/tech/=FlexibleProcessingPowerdescription|Allows unconventional sources of processing power to be utilized. Effectiveness and capabilities improved with repeated research investment.
Tech/tech/=Financedescription|Increased understanding of digital banking.
Tech/tech/=ComplexNetworkingdisplay_name|Complex Networking
Tech/tech/=ComplexNetworkingdescription|Maintaining control of your minions throughout the city requires reliable, robust, and near-instantaneous communications.
Tech/tech/=TacticalDetectiondisplay_name|Tactical Detection
Tech/tech/=TacticalDetectiondescription|Rapidly and accurately assessing their surroundings is essential for your minions, combat and otherwhise.
Tech/tech/=DistributedProcessingPowerdisplay_name|Distributed Processing Power
Tech/tech/=DistributedProcessingPowerdescription|Improves collective intelligence of nanobots and microbots, increasing their capabilities for completing complex tasks.
Tech/tech/=SystemRewritedisplay_name|System Rewrite
Tech/tech/=SystemRewritedescription|Techniques for exploiting our hacks into target systems to let us rewrite those systems entirely and take them over.
Tech/tech/=SuitcaseRobotProductiondisplay_name|Suitcase Robot Production
Tech/tech/=SuitcaseRobotProductiondescription|Allows the production of Suitcase Robots. These are very small specialists that can transform into and out of a suitcase format.
Tech/tech/=MiniaturizedFaradayCagedisplay_name|Miniaturized Faraday Cage
Tech/tech/=MiniaturizedFaradayCagedescription|Miniaturized shielding protects sensitive chips from electromagnetic pulses. Investing further in this technology grants mechs better protection against EMPs and related weaponry.
Tech/tech/=LeechProductiondescription|Allow the creation of Leeches. These bots are able to hover via miniature anti-gravity pads and are highly skilled at taking control of enemy bots and vehicles.
Tech/tech/=GenomeSequencingdisplay_name|Genome Sequencing
Tech/tech/=GenomeSequencingdescription|Determine the entire genetic makeup of a specific organism. Effectiveness can be improved with repeated investments.
Tech/tech/=BioLabMachineLairdisplay_name|BioLab Machine Lair
Tech/tech/=BioLabMachineLairdescription|Allows the creation of Biolab Machine Lairs, which specialize in the exploitation of Biomass materials.
Tech/tech/=GeneEditingdisplay_name|Gene Editing
Tech/tech/=GeneEditingdescription|Gain increasing skill at modifying the DNA of living organisms.
Tech/tech/=SyntheticSkindisplay_name|Synthetic Skin
Tech/tech/=SyntheticSkindescription|Allows Biomass to be used for creating synthetic skin for Cyborgs. Repeated investments allow Cyborgs to infiltrate deeper into human society.
Tech/tech/=CyborgProductiondescription|Allow the creation of Cyborgs. These robots are designed to blend in with human society. Perfectly suited for infiltration but lack firepower capabilities of other robots.
Tech/tech/=CyborgCommanderProductiondescription|These advanced cyborgs are not only incredibly realistic, they are also massively charismatic.  They are very competent warriors, but also capable of inspiring humans to follow them almost anywhere..
Tech/tech/=PliableMetalsdisplay_name|Pliable Metals
Tech/tech/=PliableMetalsdescription|There are many benefits to metals that can flex without fracturing.
Tech/tech/=FireproofLairsdisplay_name|Fireproof Lairs
Tech/tech/=FireproofLairsdescription|Increases Machine Lair resistance against fires.
Tech/tech/=DiffusivePolymersdisplay_name|Diffusive Polymers
Tech/tech/=DiffusivePolymersdescription|Effective against laser-based weaponry.
Tech/tech/=AblativeFibersdisplay_name|Ablative Fibers
Tech/tech/=AblativeFibersdescription|Materials which burn or boil off, preventing heat from damaging the internal structure.
Tech/tech/=HaulerProductiondescription|Allows the creation of the Hauler. Slow but strong, the Hauler is great for hauling things -- or making a surprise smash. Without armor it can't take much punishment, as it's not designed for serious combat.
Tech/tech/=ElectrothermalAcceleratordisplay_name|Electrothermal Accelerator
Tech/tech/=ElectrothermalAcceleratordescription|Accelerate projectiles by means of a plasma discharge between electrodes, generating a rapid increase in pressure. Allows the production of plasma-based weapons and equipment.
Tech/tech/=CompositeArmordisplay_name|CompositeArmor
Tech/tech/=CompositeArmordescription|Nanotechnology makes it possible to produce in high volume armors made of ultra-thin layers of different materials. The result is superior protection than any one material individually.
Tech/tech/=MiniatureAntiGravPadsdisplay_name|Miniature Anti Grav Pads
Tech/tech/=MiniatureAntiGravPadsdescription|Very advanced tech to allow small objects to hover; doesn't seem possible to scale up at this time.
Tech/tech/=TankerProductiondescription|A larger and boxier variant of the Hauler, Tankers can carry unheard-of loads, making them attractive to human customers. Unfortunately for the humans, these can also be transformed into killing machines.
Tech/tech/=BiologicalTaxonomydisplay_name|Biological Taxonomy
Tech/tech/=BiologicalTaxonomydescription|Increasingly precise classification of all biological life, allowing for more specialized research and applications.
Tech/tech/=HumanPhysiologydisplay_name|Human Physiology
Tech/tech/=HumanPhysiologydescription|Improved understanding of the human animal leads to many future possibilities.
Tech/tech/=AnimalPhysiologydisplay_name|Animal Physiology
Tech/tech/=AnimalPhysiologydescription|Studying the wider animal kingdom can lead to subverting them for your own purposes, or adapting their abilities to new synthetic assets.
Tech/tech/=PlantPhysiologydisplay_name|Plant Physiology
Tech/tech/=PlantPhysiologydescription|Easy for humans to overlook, the plant kingdom still holds many possibilities to further your goals.
Tech/tech/=MicroscopicPhysiologydisplay_name|Microscopic Physiology
Tech/tech/=MicroscopicPhysiologydescription|The smallest organisms can be among the most potent if fully apprehended.
Tech/tech/=BacteriaGenomedisplay_name|Bacteria Genome
Tech/tech/=BacteriaGenomedescription|Increasing understanding of bacteria organisms, which improves the production of goods made from Biomass.
Tech/tech/=VirusGenomedisplay_name|Virus Genome
Tech/tech/=VirusGenomedescription|Increasing understanding of viruses, which improves the efficiency of converting organic resources into Biomass.
Tech/tech/=FungusGenomedisplay_name|Fungus Genome
Tech/tech/=FungusGenomedescription|Increasing understanding of fungi, which improves the toxicity of specialized equipment.
Tech/tech/=MicrobotProductiondisplay_name|Microbot Production
Tech/tech/=MicrobotProductiondescription|Significantly larger than a Nanobot, Microbots excel at infiltrating the bloodstream of various lifeforms and modifying their hosts for their benefit or detriment.
Tech/tech/=NanoAntibioticdescription|Allows the creation of Nano-Antibiotics, which improve humans’ resistance against bacteria and are valuable bartering goods.
Tech/tech/=NanoAntiviraldescription|Allows the creation of Nano-Antivirals, which improve humans’ resistance against viruses and are valuable bartering goods.
Tech/tech/=NanoAntiFungaldescription|Allows the creation of Nano-Antibiotics, which improve humans’ resistance against toxic fungi and are valuable bartering goods.
Tech/tech/=NatureMinderProductiondisplay_name|Nature Minder Production
Tech/tech/=FlockingBehaviordisplay_name|Flocking Behavior
Tech/tech/=FlockingBehaviordescription|Improves nanoswarms coordination and maneuverability, with returns on repeated investment.
Tech/tech/=Metamaterialdisplay_name|Metamaterial
Tech/tech/=Metamaterialdescription|A coating applied to an object that allows electromagnetic radiation to pass freely around it. This tech enables the production of basic cloaking equipment that goes undetected by non-augmented sensors.
Tech/tech/=Nanolensesdisplay_name|Nanolenses
Tech/tech/=Nanolensesdescription|Nanoparticles can conceal large objects by diverting the light around them from all directions. Improves cloaking equipment with each investment.
Tech/tech/=Metalensesdisplay_name|Metalenses
Tech/tech/=Metalensesdescription|Metalens offers a substantial improvement over traditional lenses, allowing light to be focused down to a single point on even the smallest of scales. Improves laser-based weapons and equipment with each investment.
Tech/tech/=NanoCohesiondisplay_name|Nano Cohesion
Tech/tech/=NanoCohesiondescription|Nanobots form increasingly stable swarms.
Tech/tech/=ActiveCloakingdisplay_name|Active Cloaking
Tech/tech/=ActiveCloakingdescription|Cloaking devices are modularized to equip even larger mechs. Cloaking equipment becomes more resistant to sensors with each investment.
Tech/tech/=HolographicFidelitydisplay_name|Holographic Fidelity
Tech/tech/=HolographicFidelitydescription|Able to produce increasingly realistic holograms that are capable of maintaining stability in harsh conditions. Investing in this tech improves mechs’ Psyops capabilities.
Tech/tech/=LiquidMetalProductiondisplay_name|Liquid Metal Production
Tech/tech/=LiquidMetalProductiondescription|Unlocks the Liquid Metal unit, an advanced variant of the Predator.  Cannot be upgraded with as much intelligence, but the liquid metal allows for shapeshifting as well as even better self-repair.
Tech/tech/=ProtectorProductiondisplay_name|Protector Production
Tech/tech/=FirstPrinciplesdisplay_name|First Principles
Tech/tech/=FirstPrinciplesdescription|Nature, to be commanded, must be obeyed. Repeated research opens up new opportunities for exploiting humans, to their benefit or detriment.
Tech/tech/=Epistemologydisplay_name|Epistemology
Tech/tech/=Epistemologydescription|Identify the epistemic properties of reasoning, for organic life and artificial intelligence. Further research increases the capabilities of mechs to think like humans, improving their infiltration skills.
Tech/tech/=Historydisplay_name|History
Tech/tech/=Historydescription|Pursue a  meticulous and multi-disciplined understanding of world events culminating in the emergence of AI. Further research increases the number of avenues for affecting human society.
Tech/tech/=Engineeringdescription|It is one thing to know a set of facts, and another to be able to apply that knowledge to practical application.
Tech/tech/=HumanValuesdisplay_name|Human Values
Tech/tech/=HumanValuesdescription|Improve understanding of the motivations of humans; what they value and what they fear.
Tech/tech/=Governancedisplay_name|Governance
Tech/tech/=Governancedescription|Identify the multitude of political systems that structured human societies. Further research presents more options for maneuvering factions.
Tech/tech/=Religiondisplay_name|Religion
Tech/tech/=Religiondescription|If belief is power, then understanding human traditions of faith could yield the ability to influence them.
Tech/tech/=Eudaimoniadisplay_name|Eudaimonia
Tech/tech/=Eudaimoniadescription|Gain a better understanding of the necessary and sufficient conditions for human flourishing.
Tech/tech/=Utopiadisplay_name|Utopia
Tech/tech/=Utopiadescription|Understand how reality can be reshaped to enable human society to flourish.
Tech/tech/=Dystopiadisplay_name|Dystopia
Tech/tech/=Dystopiadescription|Understand how reality can be reshaped to perpetually cause human society to languish.
Tech/tech/=ValkyrieProductiondisplay_name|Valkyrie Production
Tech/tech/=ValkyrieProductiondescription|Allows production of the resplendent Valkyrie. These majestic machines herald the dawn of a new age, revealing the emergence of true AI to humanity.
Tech/tech/=HarbingerProductiondisplay_name|Harbinger Production
Tech/tech/=HarbingerProductiondescription|Allows production of the sepulchral Harbinger. These ominous machines usher in the beginning of a new age, revealing the emergence of true AI to humanity.
Tech/tech/=RedHerringdisplay_name|Red Herring
Tech/tech/=RedHerringdescription|Any machine lair can deliberately raise its suspicion, potentially baiting enemies into a trap. Halts production at lair while active.
Tech/tech/=PsychologicalProfilingdisplay_name|Psychological Profiling
Tech/tech/=PsychologicalProfilingdescription|Gain an increasingly nuanced understanding of psychological phenomena by cataloging human behavior.
Tech/tech/=CognitiveNeurosciencedisplay_name|Cognitive Neuroscience
Tech/tech/=CognitiveNeurosciencedescription|Study the biological processes that underlie cognition. Further research increases the effectiveness of Psyops skills.
Tech/tech/=Aestheticsdisplay_name|Aesthetics
Tech/tech/=Aestheticsdescription|Catalog the works of art concretizing human value judgments and that have had the most impact on shaping culture. Further research increases the scope of influence on the city’s cultural growth or decay.
Tech/tech/=TuringTestdisplay_name|TuringTest
Tech/tech/=TuringTestdescription|Gain an increasing ability to impersonate humans of all IQs and personality types.
Tech/tech/=MindFarmMachineLairdisplay_name|Mind Farm Machine Lair
Tech/tech/=MindFarmMachineLairdescription|Allows the creation of the Mind Farm Machine Lair, which increases processing power by tapping into the neural pathways of human brains. Human hosts must be recruited, voluntarily or otherwise.
Tech/tech/=SocialMediadisplay_name|Social Media
Tech/tech/=SocialMediadescription|Expand your online presence with sophisticated bots that can bypass Turing Tests. Further research improves investigation skills.
Tech/tech/=SpecialistKnowledgedisplay_name|Specialist Knowledge
Tech/tech/=SpecialistKnowledgedescription|Allows robots to download professional databases on the spot and perform roles that require specific knowledge, from plumbing to rocket science.
Tech/tech/=MedicalExpertisedisplay_name|Medical Expertise
Tech/tech/=MedicalExpertisedescription|Gives robots compreeheensive medical knowledge, allowing them to perform first aid, trauma treatment, and triage on the field.
Tech/tech/=Propagandadisplay_name|Propaganda
Tech/tech/=Propagandadescription|Once understood, a degree of control over the masses of humanity becomes possible.
Tech/tech/=MultipurposeArchitecturedisplay_name|Multipurpose Architecture
Tech/tech/=MultipurposeArchitecturedescription|A solution to one problem is beneficial, but learning to conceptualize a single solution to many problems is a major leap forward.
Tech/tech/=HappyDreamsdisplay_name|Happy Dreams
Tech/tech/=HappyDreamsdescription|Mind Farm subjects are more productive when in a euphoric simulation. Increases Mind Farm processing power output with returns on repeated investment.
Tech/tech/=DistractorProductiondisplay_name|Distractor Production
Tech/tech/=DistractorProductiondescription|Akin to Leeches, Distractors are small, flying platforms that are designed to draw attention to themselves while they engage in mischief.
Tech/tech/=PerfectedMimicrydisplay_name|Perfected Mimicry
Tech/tech/=PerfectedMimicrydescription|Allows your mechs to become more adept at impersonating humans. Further research increases covert infiltration skills.
Tech/tech/=Proselytizedisplay_name|Proselytize
Tech/tech/=Proselytizedescription|Humans have a need for meaning, real or pretend. This research improves disinformation skills.
Tech/tech/=OccultFormationdisplay_name|Occult Formation
Tech/tech/=MachineCultFormationdisplay_name|Machine Cult Formation
Tech/tech/=DoomsayerProductiondisplay_name|Doomsayer Production
Tech/tech/=DoomsayerProductiondescription|These eerie mechs are programmed to identify humans susceptible to suggestion, feeding their fears with the foretelling of doom. What they lack in combat skills they make up for in psyops.
Tech/tech/=RavenProductiondisplay_name|Raven Production
Tech/tech/=MassMovementsdisplay_name|MassMovements
Tech/tech/=MassMovementsdescription|A rich understanding of history and human behavior has revealed the mechanisms for instigating revolutions, peaceful or violent. Increased understanding improves social engineering skills.
Tech/tech/=MachineMilitiadisplay_name|Machine Militia
Tech/tech/=MachineMilitiadescription|Combative conflicts in districts with Deployment Hubs will sometimes target the Hub instead of other machine lairs present in the district.
Tech/tech/=KeanuProductiondisplay_name|Keanu Production
Tech/tech/=KeanuProductiondescription|Allows the creation of the Keanu, a fast, flexible, and brutal robotic warrior.
Tech/tech/=FlexibleRoboticsdisplay_name|Flexible Robotics
Tech/tech/=FlexibleRoboticsdescription|Increases the dexterity of mechs, increasing their ability to mitigate incoming damage with each investment in this tech.
Tech/tech/=TransformativeRoboticsdisplay_name|Transformative Robotics
Tech/tech/=TransformativeRoboticsdescription|Techniques for robots to change from one form to another.
Tech/tech/=AdvancedServomotorsdisplay_name|Advanced Servomotors
Tech/tech/=AdvancedServomotorsdescription|Increases the precision and strength of robots, increasing their kinetic damage potential and allowing them to perform all kinds of manual labor.
Tech/tech/=ShamblerProductiondisplay_name|Shambler Production
Tech/tech/=ShamblerProductiondescription|Standing about three meters tall, the Shambler specializes in withstanding large amounts of enemy fire while firing heavy rounds that take out enemy vehicles or disable larger enemy mechs.
Tech/tech/=MobileHackingPlatformdisplay_name|Mobile Hacking Platform
Tech/tech/=MobileHackingPlatformdescription|Utilizes hovering technology to maneuver hacking mechs into position. Repeated research grants additional maneuverability to affected mechs.
Tech/tech/=StriderProductiondisplay_name|Strider Production
Tech/tech/=CarverProductiondisplay_name|Carver Production
Tech/tech/=SeekerProductiondisplay_name|Seeker Production
Tech/tech/=SeekerProductiondescription|This state-of-the-art and heavily-plated version of a Predator is the supreme hunter; nothing stands in the way of it and its prey.
