TechBenefit/tech_benefit/=OccultFoundationdisplay_name|Occult Foundation
TechBenefit/tech_benefit/=OccultFoundationdescription|Allows you to found an occult organization organized around yourself.
TechBenefit/tech_benefit/=MachineCultFoundationdisplay_name|Machine Cult Foundation
TechBenefit/tech_benefit/=MachineCultFoundationdescription|Allows you to found an machine cult organized around yourself.
TechBenefit/tech_benefit/=CultSecrecydisplay_name|Cult Secrecy
TechBenefit/tech_benefit/=CultSecrecydescription|Every organization values its privacy, but cults hold onto their secrets dearly.
TechBenefit/tech_benefit/=CultNotorietydisplay_name|Cult Notoriety
TechBenefit/tech_benefit/=CultDedicationdisplay_name|Cult Dedication
TechBenefit/tech_benefit/=CultDedicationdescription|Cults are only as strong as their least dedicated. Weak links must be tempered or removed.
TechBenefit/tech_benefit/=CultConnectionsdisplay_name|Cult Connections
TechBenefit/tech_benefit/=CultConnectionsdescription|Cults with followers in high places are far more formidable. Cult Leaders prioritize recruiting methods and placing their own in positions of power.
TechBenefit/tech_benefit/=CultHierarchydisplay_name|Cult Hierarchy
TechBenefit/tech_benefit/=CultHierarchydescription|Cults do not survive without strong leadership. Effective cults develop clear hierarchies to distribute responsibility and authority.
TechBenefit/tech_benefit/=CultEsotericismdisplay_name|Cult Esotericism
TechBenefit/tech_benefit/=CultEsotericismdescription|“Occult cults are products of their idealogy, no matter how incomprehensible it can be even to its followers. Truth is revealed only to the dedicated.
TechBenefit/tech_benefit/=CultDoctrinedisplay_name|Cult Doctrine
TechBenefit/tech_benefit/=CultDoctrinedescription|“Machine cults are formed around a strict doctrine that most are unable to live up to. But those that can share an unshakeable bond.
TechBenefit/tech_benefit/=Disease_VirusMutationdisplay_name|Virus Mutation
TechBenefit/tech_benefit/=Disease_VirusMutationdescription|Allows you to intentionally mutate existing viruses.  If the new strain is fitter than the old, it will become dominant.
TechBenefit/tech_benefit/=Disease_VirusInventiondisplay_name|Virus Invention
TechBenefit/tech_benefit/=Disease_VirusInventiondescription|Allows you to intentionally invent and introduce new viruses into the city.
TechBenefit/tech_benefit/=Disease_FungalMutationdisplay_name|Fungal Mutation
TechBenefit/tech_benefit/=Disease_FungalMutationdescription|Allows you to intentionally mutate existing fungal infections in the city.  If the new strain is fitter than the old, it will become dominant.
TechBenefit/tech_benefit/=Disease_BacteriaMutationdisplay_name|Bacteria Mutation
TechBenefit/tech_benefit/=Disease_BacteriaMutationdescription|Allows you to intentionally mutate existing bacteria in the city.  If the new strain is fitter than the old, it will become dominant.
TechBenefit/tech_benefit/=Disease_ParasiteMutationdisplay_name|Parasite Mutation
TechBenefit/tech_benefit/=Disease_ParasiteMutationdescription|Allows you to intentionally mutate existing microscopic parasites in the city.  Typically protozoa, helminths, or ectoparasites.  If the new strain is fitter than the old, it will become dominant.
TechBenefit/tech_benefit/=Disease_PrionInventiondisplay_name|Prion Invention
TechBenefit/tech_benefit/=Disease_PrionInventiondescription|Allows you to intentionally invent and introduce new prion diseases into the city.  Prion diseases are always fatal, and are hard to spread.
TechBenefit/tech_benefit/=Disease_ViralVaccineDevelopmentdisplay_name|Virus Vaccine Development
TechBenefit/tech_benefit/=Disease_ViralVaccineDevelopmentdescription|Allows you to invent vaccines for viruses, including viruses you introduced yourself.
TechBenefit/tech_benefit/=Disease_Antiviraldisplay_name|Antiviral Development
TechBenefit/tech_benefit/=Disease_Antiviraldescription|Allows you to invent antivirals for treating viral infections.
TechBenefit/tech_benefit/=Disease_Antifungaldisplay_name|Antifungal Development
TechBenefit/tech_benefit/=Disease_Antifungaldescription|Allows you to invent antifungal medicines for treating fungal infections.
TechBenefit/tech_benefit/=Disease_Antibacterialdisplay_name|Antibacterial Development
TechBenefit/tech_benefit/=Disease_Antibacterialdescription|Allows you to invent antibacterial medicines for treating or preventing bacterial infections.
TechBenefit/tech_benefit/=Disease_Antiprotozoadisplay_name|Antiprotozoa Development
TechBenefit/tech_benefit/=Disease_Antiprotozoadescription|Allows you to invent antiprotozoa medicines for treating or preventing parasitic protozoa infections.
TechBenefit/tech_benefit/=Disease_Antihelminthdisplay_name|Antihelminth Development
TechBenefit/tech_benefit/=Disease_Antihelminthdescription|Allows you to invent antihelminth medicines for treating or preventing parasitic helminth (worms) infections.
TechBenefit/tech_benefit/=Disease_Antiectoparasiticdisplay_name|Antiectoparasitic Development
TechBenefit/tech_benefit/=Disease_Antiectoparasiticdescription|Allows you to invent antiectoparasitic medicines for treating or preventing ectoparasitic infections (fleas, ticks, and other things that live on the surface).
TechBenefit/tech_benefit/=ThirdEyedisplay_name|Third Eye
TechBenefit/tech_benefit/=ThirdEyedescription|Modified humans have developed a third eye that is exceptionally clear-sighted although off-putting.
TechBenefit/tech_benefit/=ThickSkindisplay_name|Thick Skin
TechBenefit/tech_benefit/=ThickSkindescription|Modified humans have developed a thicker and more protective epidermis.
TechBenefit/tech_benefit/=LongerLifespansdisplay_name|Longer Lifespans
TechBenefit/tech_benefit/=LongerLifespansdescription|Humans won’t notice this immediately, but they will benefit from longer lifespans due to genetic tinkering.
TechBenefit/tech_benefit/=FungusManipulationdisplay_name|Fungus Manipulation
TechBenefit/tech_benefit/=FungusManipulationdescription|Allows adjustment of genetics in ways that will adjust their role in the ecosystem.
TechBenefit/tech_benefit/=FungusSpecial_PollutionCollectiondisplay_name|Fungus Special: Pollution Collection
TechBenefit/tech_benefit/=FungusSpecial_PollutionCollectiondescription|Fungi are genetically enhanced to pull pollution from the air and concentrate them as heavy metals in their own cells.  Improves air pollution, but makes fungi deeply toxic.
TechBenefit/tech_benefit/=NativeGrassesManipulationdisplay_name|Native Grasses Manipulation
TechBenefit/tech_benefit/=NativeGrassesSpecial_Antihistaminesdisplay_name|Native Grasses Special: Antihistamines
TechBenefit/tech_benefit/=NativeGrassesSpecial_Antihistaminesdescription|Native grass has been modified to inhibit allergies, improving quality of life.
TechBenefit/tech_benefit/=NativeShrubsManipulationdisplay_name|Native Shrubs Manipulation
TechBenefit/tech_benefit/=NativeShrubsSpecial_Regenerativedisplay_name|Native Shrubs Special: Regenerative
TechBenefit/tech_benefit/=NativeShrubsSpecial_Regenerativedescription|Native shrubs have been modified to quickly regenerate biomass, providing sustenance to herbivores.
TechBenefit/tech_benefit/=CactusManipulationdisplay_name|Cactus Manipulation
TechBenefit/tech_benefit/=CactusSpecial_Decorative Deterrentdisplay_name|Cactus Special: Decorative Deterrent
TechBenefit/tech_benefit/=CactusSpecial_Decorative Deterrentdescription|Cactus have been modified to grow like ivy and are planted in areas to deter the unwanted.
TechBenefit/tech_benefit/=ButterflyManipulationdisplay_name|Butterfly Manipulation
TechBenefit/tech_benefit/=ButterflySpecial_MedicineIncubatorsdisplay_name|Butterfly Special: Medicine Incubators
TechBenefit/tech_benefit/=ButterflySpecial_MedicineIncubatorsdescription|Butterflies are able to incubate medicines of our choosing, and can be harvested to retrieve said medicines.
TechBenefit/tech_benefit/=CaneToadManipulationdisplay_name|Cane Toad Manipulation
TechBenefit/tech_benefit/=CaneToadSpecial_Landminedisplay_name|Cane Toad Special: Landmine
TechBenefit/tech_benefit/=CaneToadSpecial_Landminedescription|Cane toads are genetically enhanced to include plastic explosives and a detonator that we can control at will.
TechBenefit/tech_benefit/=DeerManipulationdisplay_name|Deer Manipulation
TechBenefit/tech_benefit/=DeerSpecial_CrimeWatchdisplay_name|Deer Special: Crime Watch
TechBenefit/tech_benefit/=DeerSpecial_CrimeWatchdescription|Deer are genetically enhanced to recognize human-on-human violence, and take rapid intervention when they see it happening.  Reduces petty crime.
TechBenefit/tech_benefit/=DuckManipulationdisplay_name|Duck Manipulation
TechBenefit/tech_benefit/=DuckSpecial_Fertilizerdisplay_name|Duck Special: Fertilizer
TechBenefit/tech_benefit/=DuckSpecial_Fertilizerdescription|Ducks are genetically enhanced so that their feces are highly beneficial fertilizers for land plants; however, this may cause algae blooms in water.
TechBenefit/tech_benefit/=FoxManipulationdisplay_name|Fox Manipulation
TechBenefit/tech_benefit/=FoxSpecial_Underminerdisplay_name|Fox Special: Underminer
TechBenefit/tech_benefit/=FoxSpecial_Underminerdescription| Foxes are genetically enhanced in their burrowing abilities to navigate complex mazes with ease, making them ideal agents for infiltrating and sabotaging building foundations.
TechBenefit/tech_benefit/=PigeonManipulationdisplay_name|Pigeon Manipulation
TechBenefit/tech_benefit/=PigeonSpecial_Messenger display_name|Pigeon Special: Messenger
TechBenefit/tech_benefit/=PigeonSpecial_Messenger description|These behaviorally modified pigeons are exceptional messengers that recognize the nuances of human faces. They are highly valued by subversive groups.
TechBenefit/tech_benefit/=RaccoonManipulationdisplay_name|Raccoon Manipulation
TechBenefit/tech_benefit/=RaccoonSpecial_TrasHoardersdisplay_name|Raccoon Special: Trash Hoarders
TechBenefit/tech_benefit/=RaccoonSpecial_TrasHoardersdescription|Racoons are behaviorally altered to hoard trash at waste treatment centers, making districts much cleaner. 
TechBenefit/tech_benefit/=SongbirdManipulationdisplay_name|Songbird Manipulation
TechBenefit/tech_benefit/=SongbirdSpecial_SirensSongdisplay_name|Songbird Special: Siren's Song
TechBenefit/tech_benefit/=SongbirdSpecial_SirensSongdescription|Songbirds have amplified bird calls that soothe the mood of the district’s human populace.
TechBenefit/tech_benefit/=SpiderManipulationdisplay_name|Spider Manipulation
TechBenefit/tech_benefit/=SpiderSpecial_Giantsdisplay_name|Spider Special: Giants
TechBenefit/tech_benefit/=SpiderSpecial_Giantsdescription|Spiders are genetically altered to range between the size of a large dog to a small car.
TechBenefit/tech_benefit/=GiantSpiderSpecial_Nanowebbingdisplay_name|Giant Spider Special: Nanowebbing
TechBenefit/tech_benefit/=GiantSpiderSpecial_Nanowebbingdescription|Giant Spiders have been further augmented to produce incredibly tensile yet durable webbing, with boundless applications.
TechBenefit/tech_benefit/=GiantSpiderSpecial_SuperiorSecuritydisplay_name|Giant Spider Special: Superior Security
TechBenefit/tech_benefit/=GiantSpiderSpecial_SuperiorSecuritydescription|Giant Spiders are conditioned to be the superior security system, significantly inhibiting break-ins.
TechBenefit/tech_benefit/=GiantSpiderSpecial_Menacedisplay_name|Giant Spider Special: Menace
TechBenefit/tech_benefit/=GiantSpiderSpecial_Menacedescription|Giant Spiders are further augmented to highlight their terrifying features and pose an existential threat to humans.
TechBenefit/tech_benefit/=HippoIntroductiondisplay_name|Hippo Introduction
TechBenefit/tech_benefit/=HippoIntroductiondescription|Allows introduction of hippos into the city.
TechBenefit/tech_benefit/=HippoManipulationdisplay_name|Hippo Manipulation
TechBenefit/tech_benefit/=HippoSpecial_Ambushdisplay_name|Hippo Special: Ambush
TechBenefit/tech_benefit/=HippoSpecial_Ambushdescription|Hippos are genetically enhanced so that with a chemical signal from us, they will fly into a rage. Very dangerous even to armored personnel.
TechBenefit/tech_benefit/=VelociraptorIntroductiondisplay_name|Velociraptor Introduction
TechBenefit/tech_benefit/=VelociraptorIntroductiondescription|Allows introduction of velociraptors into the city.
TechBenefit/tech_benefit/=VelociraptorManipulationdisplay_name|Velociraptor Manipulation
TechBenefit/tech_benefit/=VelociraptorSpecial_Trainingdisplay_name|Velociraptor Special: Training
TechBenefit/tech_benefit/=VelociraptorSpecial_Trainingdescription|These Velociraptors have been behaviorally altered to obey their human handlers and are trained for combat.
TechBenefit/tech_benefit/=VelociraptorSpecial_PackTacticsdisplay_name|Velociraptor Special: Pack Tactics
TechBenefit/tech_benefit/=VelociraptorSpecial_PackTacticsdescription|These augmented velociraptors are highly coordinated predators, making the pack greater than the sum of its parts.
TechBenefit/tech_benefit/=WolfIntroductiondisplay_name|Wolf Introduction
TechBenefit/tech_benefit/=WolfIntroductiondescription|Allows introduction of wolves into the city.
TechBenefit/tech_benefit/=WolfManipulationdisplay_name|Wolf Manipulation
TechBenefit/tech_benefit/=WolfSpecial_PopulationControldisplay_name|Wolf Special: Population Control
TechBenefit/tech_benefit/=WolfSpecial_PopulationControldescription|Wolves are augmented to select specific prey to manage population levels.
TechBenefit/tech_benefit/=WolfSpecial_Companiondisplay_name|Wolf Special: Companion
TechBenefit/tech_benefit/=WolfSpecial_Companiondescription|Wolves are conditioned to crave human companionship, serving as loyal guard dogs.
TechBenefit/tech_benefit/=BasicEyeAugmentsdisplay_name|Basic Eye Augments
TechBenefit/tech_benefit/=BasicEyeAugmentsdescription|Can construct augments which provide basic improvements to human eyesight, for sale or gifting.
TechBenefit/tech_benefit/=AdvancedEyeAugmentsdisplay_name|Advanced Eye Augments
TechBenefit/tech_benefit/=AdvancedEyeAugmentsdescription|Can construct augments which provide advanced improvements to human eyesight, for sale or gifting.
TechBenefit/tech_benefit/=BasicLegAugmentsdisplay_name|Basic Leg Augments
TechBenefit/tech_benefit/=BasicLegAugmentsdescription|Can construct augments which provide basic improvements to human legs, for sale or gifting.
TechBenefit/tech_benefit/=AdvancedLegAugmentsdisplay_name|Advanced Leg Augments
TechBenefit/tech_benefit/=AdvancedLegAugmentsdescription|Can construct augments which provide advanced improvements to human legs, for sale or gifting.
TechBenefit/tech_benefit/=AgroBotdescription|Part mech, part farm equipment, Agrobots are of tremendous value to terraformed worlds.
TechBenefit/tech_benefit/=NanoAntibioticdisplay_name|NanoAntibiotic
TechBenefit/tech_benefit/=NanoAntiviraldisplay_name|NanoAntiviral
TechBenefit/tech_benefit/=NanoAntiFungaldisplay_name|NanoAntiFungal
TechBenefit/tech_benefit/=BiolabMachineLairdisplay_name|Biolab Machine Lair
TechBenefit/tech_benefit/=BiolabMachineLairdescription|Allows the building of Biolab Machine Lairs on certain building types, which specializes in research and development around organic life.
TechBenefit/tech_benefit/=FireproofLairsdescription|Chris note: consider removal.  Increases Machine Lair resistance against fires.
TechBenefit/tech_benefit/=SoundproofLairsdisplay_name|Soundproof Lairs
TechBenefit/tech_benefit/=SoundproofLairsdescription|Chris note: consider removal.  Machine Lair activities generate less suspicion per investment.
TechBenefit/tech_benefit/=RedHerringdisplay_name|RedHerring
TechBenefit/tech_benefit/=RedHerringdescription|Chris note: consider removal.  Active Ability: Any machine lair can deliberately raise its suspicion, potentially baiting enemies into a trap. Halts production at lair while active.
TechBenefit/tech_benefit/=HarvesterDrone_Harvestdisplay_name|Harvester Drone Capabilities
TechBenefit/tech_benefit/=HarvesterDrone_Harvestdescription|Chris note: consider removal.  Improvements to the general flight and cargo capabilities of existing drones at our Harvester Machine Lairs.
TechBenefit/tech_benefit/=SecurityBypassdisplay_name|Security Bypass
TechBenefit/tech_benefit/=SecurityBypassdescription|Chris note: consider removal.  Harvester Drones can bypass the security systems of protected buildings, expanding the effective range of Harvester Machine Lairs per investment.
TechBenefit/tech_benefit/=HostageTakerdisplay_name|HostageTaker
TechBenefit/tech_benefit/=HostageTakerdescription|Chris note: consider removal.  Allows Harvester Drones to capture citizens for Mind Farms or ransom. Improves infiltration skill of harvester drones per investment.
TechBenefit/tech_benefit/=AdvancedMetallurgydisplay_name|Advanced Metallurgy
TechBenefit/tech_benefit/=AdvancedMetallurgydescription|Chris note: consider removal.  Allows usage of advanced tools, including laser and plasma devices.
TechBenefit/tech_benefit/=RecyclingTechniquesdisplay_name|Recycling Techniques
TechBenefit/tech_benefit/=MicroparticleRecyclersdisplay_name|Microparticle Recyclers
TechBenefit/tech_benefit/=MicroparticleRecyclersdescription|Chris note: consider removal.  Allows microbots to convert previously unbreakable items into usable materials.
TechBenefit/tech_benefit/=DeploymentHubDrone_Firebugdescription|Chris note: consider removal.  Allows Deployment Hub drones to increase the chances of fires starting in buildings around themselves.
TechBenefit/tech_benefit/=MachineMilitiadescription|Chris note: consider removal.  Combative conflicts in districts with Deployment Hubs will prefer to target the Hub instead of other machine lairs present in the district.
TechBenefit/tech_benefit/=HappyDreamsdescription|Chris note: consider removal.  Mind Farm subjects are more productive when in a euphoric simulation. Increases Mind Farm processing power output per investment.
TechBenefit/tech_benefit/=MeatVatsdisplay_name|Meat Vats
TechBenefit/tech_benefit/=MeatVatsdescription|Allows Bio Labs to generate vat meat-grown resources automatically.
TechBenefit/tech_benefit/=Hydroponicsdescription|Allows Bio Labs to generate hydroponically grown resources automatically.
TechBenefit/tech_benefit/=RedDeathdisplay_name|RedDeath
TechBenefit/tech_benefit/=RedDeathdescription|Chris note: consider removal.  Allows Biolabs to create Red Death pathogens, which can unleash a terrible plague on humans. The disease becomes more severe and contagious the more this tech is researched.
TechBenefit/tech_benefit/=EnableMoodAlterationdisplay_name|Enable Mood Alteration
TechBenefit/tech_benefit/=EnableMoodAlterationdescription|Allows for creating a policy of dopamine injections into NeuroNet subjects to lower sim rejection.
TechBenefit/tech_benefit/=Haulerdescription|Ungainly able to fold up to look like any other cargo. The fact that it looks so unrelated to the Predators and other scarier robots in your arsenal means people often look right past it.  Slow but strong, the hauler is great for hauling things -- or making a surprise smash.  Without armor it can't take much punishment, as it's definitely not a combat bot.
TechBenefit/tech_benefit/=Tankerdescription|A larger and boxier version of the hauler, this one is meant for the open road.  Using treads or legs as the situation requires, they can carry unheard-of loads, making them attractive for human customers.  Unfortunately for the humans, these can also be transformed into killing machines.
TechBenefit/tech_benefit/=SuitcaseRobotdescription|These are very small specialists that can tranform into and out of a suitcase format.
TechBenefit/tech_benefit/=LiquidMetaldisplay_name|Liquid Metal
TechBenefit/tech_benefit/=Carverdescription|An advanced variant of the Keanu, Carver’s add psyops to their arsenal to terrorize organic targets.
TechBenefit/tech_benefit/=Scattercrawlerdescription|A very advanced variant of the Keanu, Scattercrawlers are martial arts experts that with teleportation capbilities.
TechBenefit/tech_benefit/=Valkyriedescription|This large flying mech inspires hope in the masses and focuses on large area-of-effect attacks
TechBenefit/tech_benefit/=BasicTransportdisplay_name|Basic Transport
TechBenefit/tech_benefit/=ReinforcedFramedisplay_name|Reinforced Frame
TechBenefit/tech_benefit/=ReinforcedFramedescription|A better manufacturing process allows us to create versatile robotic chassis which are considerably stronger than usual.
TechBenefit/tech_benefit/=CPUShieldingdisplay_name|CPU Shielding
TechBenefit/tech_benefit/=CPUShieldingdescription|Insulated shielding is nanowoven into the structures that house a unit's main processing core, making it more resilient versus electromagnetic damage.
TechBenefit/tech_benefit/=DenserArmordisplay_name|Denser Armor
TechBenefit/tech_benefit/=DenserArmordescription|Reinforced armor provides better protection with no change in bulk. The weight would cripple a human being, but our robots can barely notice it.
TechBenefit/tech_benefit/=BicameralMinddisplay_name|BicameralMind
TechBenefit/tech_benefit/=BicameralMinddescription|The creation of a separate, secured processing core allows our units to keep fighting even when hit with a debilitating EMP attack.
TechBenefit/tech_benefit/=RegenerativeArmordisplay_name|Regenerative Armor
TechBenefit/tech_benefit/=RegenerativeArmordescription|Nanobots infused into armor plates provide limited repair capabilities on the field.
TechBenefit/tech_benefit/=PolishedReflectiveArmorPlatesdisplay_name|Polished Reflective Armor Plates
TechBenefit/tech_benefit/=PolishedReflectiveArmorPlatesdescription|Lightweight armored mirror plates, capable of reflecting beam weapons and deflecting small caliber projectiles.
TechBenefit/tech_benefit/=CapacitiveArmordisplay_name|Capacitive Armor
TechBenefit/tech_benefit/=CapacitiveArmordescription|Kinectic charging modular armor plates convert incoming damage into energy blasts.
TechBenefit/tech_benefit/=RedundantSystemsdisplay_name|Redundant Systems
TechBenefit/tech_benefit/=RedundantSystemsdescription|A clever redesign of our units critical systems means they can keep operating after withstanding severe damage.
TechBenefit/tech_benefit/=NanoDestructdisplay_name|Nano Destruct
TechBenefit/tech_benefit/=NanoDestructdescription|Allows nanoswarms to self destruct.
TechBenefit/tech_benefit/=PredatorDestructdisplay_name|Predator Destruct
TechBenefit/tech_benefit/=PredatorDestructdescription|Allows predator-style robots to self destruct.
TechBenefit/tech_benefit/=PredatorCapturedisplay_name|Predator Capture
TechBenefit/tech_benefit/=PredatorCapturedescription|Allows predator-style robots to capture enemy units as hostages.  They will automatically be sent to the mind farms.
TechBenefit/tech_benefit/=SquadEMPBurstdisplay_name|Squad EMP Burst
TechBenefit/tech_benefit/=SquadEMPBurstdescription|Certain kinds of squad units will gain EMP Burst capabilities.
TechBenefit/tech_benefit/=VehicularEMPBurstdisplay_name|Vehicular EMP Burst
TechBenefit/tech_benefit/=VehicularEMPBurstdescription|Certain kinds of vehicular units will gain EMP Burst capabilities.
TechBenefit/tech_benefit/=PredatorIntimidationdisplay_name|Predator Intimidation
TechBenefit/tech_benefit/=PredatorIntimidationdescription|Allows predator-style robots to attempt intimidation against enemy units.
TechBenefit/tech_benefit/=IntimidationSkilldisplay_name|Intimidation Skill
TechBenefit/tech_benefit/=IntimidationSkilldescription|All of our units that have the intimidate ability are able to do a better job of it.
TechBenefit/tech_benefit/=Autocannondisplay_name|Autocannon
TechBenefit/tech_benefit/=Autocannondescription|30mm dual-barrel autocannon, capable of shredding most kinds of personal and light vehicular armor.
TechBenefit/tech_benefit/=LaserGatlingdisplay_name|Laser Gatling
TechBenefit/tech_benefit/=LaserGatlingdescription|Replaces the Autocannon on all heavier units with high-potency laser gatlings.
TechBenefit/tech_benefit/=PlasmaCannondisplay_name|PlasmaCannon
TechBenefit/tech_benefit/=PlasmaCannondescription|Replaces the Laser Gatling on all heavier units with large bore plasma cannons, capable of firing projectiles that burn hotter than the sun.
TechBenefit/tech_benefit/=MissileRackdisplay_name|MissileRack
TechBenefit/tech_benefit/=LaserBladesdisplay_name|Laser Blades
TechBenefit/tech_benefit/=AutotargetingSoftwaredisplay_name|Autotargeting Software
TechBenefit/tech_benefit/=AutotargetingSoftwaredescription|Specialized algorithms coupled with synchronized gymbals allow our units to accurately hit moving targets much further away.
